Reference sample	Sample	Species	Common name	Family taxon	Superkingdom	Kingdom	Phylum	Subphylum	Class	Superclass	Infraclass	Order
drPyrComm1	drPyrComm1	Pyrus communis	pear	3745	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	.	.	Rosales
drTriFrag1	drTriFrag1	Trifolium fragiferum	.	3803	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	.	.	Fabales
drTriSubt1	drTriSubt1	Trifolium subterraneum	.	3803	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	.	.	Fabales
drUmbRupe1	drUmbRupe1	Umbilicus rupestris	.	3781	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	.	.	Saxifragales
drUrtUren1	drUrtUren1	Urtica urens	.	3499	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	.	.	Rosales
eaLuiSars1	eaLuiSars1	Luidia sarsii	(a starfish)	60582	Eukaryota	Metazoa	Echinodermata	.	Asteroidea	Asterozoa	.	Valvatacea
eaMarGlac1	eaMarGlac1	Marthasterias glacialis	spiny starfish	7600	Eukaryota	Metazoa	Echinodermata	.	Asteroidea	Asterozoa	.	Forcipulatacea
ecAntBifi1	ecAntBifi1	Antedon bifida	rosy feather star	35072	Eukaryota	Metazoa	Echinodermata	.	Crinoidea	.	.	Comatulida
fAbrBra2	fAbrBra2	Abramis brama	common bream	2743726	Eukaryota	Metazoa	Chordata	Craniata	Actinopteri	Actinopterygii	Teleostei	Cypriniphysae
fAciRut3	fAciRut3	Acipenser ruthenus	sterlet	7900	Eukaryota	Metazoa	Chordata	Craniata	Actinopteri	Actinopterygii	Teleostei	Acipenseriformes
fBarBab1	fBarBab1	Barbus barbus	barbel	7953	Eukaryota	Metazoa	Chordata	Craniata	Actinopteri	Actinopterygii	Teleostei	Cypriniphysae
fBarBar1	fBarBar1	Barbatula barbatula	stone loach	278171	Eukaryota	Metazoa	Chordata	Craniata	Actinopteri	Actinopterygii	Teleostei	Cypriniphysae
fBleOce1	fBleOce1	Blennius ocellaris	butterfly blenny	56718	Eukaryota	Metazoa	Chordata	Craniata	Actinopteri	Actinopterygii	Teleostei	Blenniiformes
fCarCar2	fCarCar2	Carassius carassius	crucian carp	7953	Eukaryota	Metazoa	Chordata	Craniata	Actinopteri	Actinopterygii	Teleostei	Cypriniphysae
fCheLab1	fCheLab1	Chelon labrosus	thicklip grey mullet	8189	Eukaryota	Metazoa	Chordata	Craniata	Actinopteri	Actinopterygii	Teleostei	Mugiliformes
fConCon1	fConCon1	Conger conger	European conger	7941	Eukaryota	Metazoa	Chordata	Craniata	Actinopteri	Actinopterygii	Teleostei	Anguilliformes
fCycLum2	fCycLum2	Cyclopterus lumpus	lumpfish	8101	Eukaryota	Metazoa	Chordata	Craniata	Actinopteri	Actinopterygii	Teleostei	Perciformes
fDanRer4	fDanRer4	Danio rerio	zebrafish	2743709	Eukaryota	Metazoa	Chordata	Craniata	Actinopteri	Actinopterygii	Teleostei	Cypriniphysae
fEchVip8	fEchVip8	Echiichthys vipera	lesser weever	56735	Eukaryota	Metazoa	Chordata	Craniata	Actinopteri	Actinopterygii	Teleostei	Perciformes
fEutGur1	fEutGur1	Eutrigla gurnardus	grey gurnard	27774	Eukaryota	Metazoa	Chordata	Craniata	Actinopteri	Actinopterygii	Teleostei	Perciformes
fGobGob1	fGobGob1	Gobio gobio	gudgeon	2743714	Eukaryota	Metazoa	Chordata	Craniata	Actinopteri	Actinopterygii	Teleostei	Cypriniphysae
fGobNig1	fGobNig1	Gobius niger	black goby	8220	Eukaryota	Metazoa	Chordata	Craniata	Actinopteri	Actinopterygii	Teleostei	Gobiiformes
fHypImm3	fHypImm3	Hyperoplus immaculatus	greater sand eel	84619	Eukaryota	Metazoa	Chordata	Craniata	Actinopteri	Actinopterygii	Teleostei	Uranoscopiformes
fLabBer1	fLabBer1	Labrus bergylta	ballan wrasse	8247	Eukaryota	Metazoa	Chordata	Craniata	Actinopteri	Actinopterygii	Teleostei	Labriformes
fLabMix1	fLabMix1	Labrus mixtus	cuckoo wrasse	8247	Eukaryota	Metazoa	Chordata	Craniata	Actinopteri	Actinopterygii	Teleostei	Labriformes
fLipPho2	fLipPho2	Lipophrys pholis	shanny	56718	Eukaryota	Metazoa	Chordata	Craniata	Actinopteri	Actinopterygii	Teleostei	Blenniiformes
fMicPou1	fMicPou1	Micromesistius poutassou	blue whiting	8045	Eukaryota	Metazoa	Chordata	Craniata	Actinopteri	Actinopterygii	Teleostei	Gadiformes
fMicVar1	fMicVar1	Microchirus variegatus	thickback sole	30948	Eukaryota	Metazoa	Chordata	Craniata	Actinopteri	Actinopterygii	Teleostei	Pleuronectiformes
fPhoGun1	fPhoGun1	Pholis gunnellus	rock gunnel	56724	Eukaryota	Metazoa	Chordata	Craniata	Actinopteri	Actinopterygii	Teleostei	Perciformes
fPhoPho1	fPhoPho1	Phoxinus phoxinus	Eurasian minnow	2743726	Eukaryota	Metazoa	Chordata	Craniata	Actinopteri	Actinopterygii	Teleostei	Cypriniphysae
fPlaFle2	fPlaFle2	Platichthys flesus	European flounder	8256	Eukaryota	Metazoa	Chordata	Craniata	Actinopteri	Actinopterygii	Teleostei	Pleuronectiformes
fPlePla1	fPlePla1	Pleuronectes platessa	European plaice	8256	Eukaryota	Metazoa	Chordata	Craniata	Actinopteri	Actinopterygii	Teleostei	Pleuronectiformes
fPolPol2	fPolPol2	Pollachius pollachius	pollack	8045	Eukaryota	Metazoa	Chordata	Craniata	Actinopteri	Actinopterygii	Teleostei	Gadiformes
fPunPun2	fPunPun2	Pungitius pungitius	ninespine stickleback	69291	Eukaryota	Metazoa	Chordata	Craniata	Actinopteri	Actinopterygii	Teleostei	Perciformes
fRutRut2	fRutRut2	Rutilus rutilus	roach minnow	2743726	Eukaryota	Metazoa	Chordata	Craniata	Actinopteri	Actinopterygii	Teleostei	Cypriniphysae
fScoMax1	fScoMax1	Scophthalmus maximus	turbot	52902	Eukaryota	Metazoa	Chordata	Craniata	Actinopteri	Actinopterygii	Teleostei	Pleuronectiformes
fScoSco1	fScoSco1	Scomber scombrus	Atlantic mackerel	8224	Eukaryota	Metazoa	Chordata	Craniata	Actinopteri	Actinopterygii	Teleostei	Scombriformes
fSprSpr1	fSprSpr1	Sprattus sprattus	European sprat	55118	Eukaryota	Metazoa	Chordata	Craniata	Actinopteri	Actinopterygii	Teleostei	Clupeiformes
fSquCep2	fSquCep2	Squalius cephalus	European chub	2743726	Eukaryota	Metazoa	Chordata	Craniata	Actinopteri	Actinopterygii	Teleostei	Cypriniphysae
fSymMel2	fSymMel2	Symphodus melops	corkwing wrasse	8247	Eukaryota	Metazoa	Chordata	Craniata	Actinopteri	Actinopterygii	Teleostei	Labriformes
fSynAcu2	fSynAcu2	Syngnathus acus	greater pipefish	72045	Eukaryota	Metazoa	Chordata	Craniata	Actinopteri	Actinopterygii	Teleostei	Syngnathiformes
fTauBub2	fTauBub2	Taurulus bubalis	long spined sea scorpion	8092	Eukaryota	Metazoa	Chordata	Craniata	Actinopteri	Actinopterygii	Teleostei	Perciformes
fTelBon1	fTelBon1	Telmatherina bonti	.	238703	Eukaryota	Metazoa	Chordata	Craniata	Actinopteri	Actinopterygii	Teleostei	Atherinomorphae
