Reference sample,Sample,Common name,Domain,Kingdom,Phylum,Class,Order,Family,Genus,Species
iyBomPrat1,iyBomPrat1,Early bumblebee,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus pratorum
iyBomSyle1,iyBomSyle1,Forest cuckoo bee,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus sylvestris
iyBomTerr1,iyBomTerr1,Buff-tailed bumblebee,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus terrestris
iyBuaLabo1,iyBuaLabo1,.,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,Buathra,Buathra laborator
iyCamRapt1,iyCamRapt1,.,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,Campoletis,Campoletis raptor
iyCerRyby1,iyCerRyby1,Ornate tailed digger wasp,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Crabronidae,Cerceris,Cerceris rybyensis
iyCliInci1,iyCliInci1,.,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,Clistopyga,Clistopyga incitator
iyCoeConi1,iyCoeConi1,.,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Megachilidae,Coelioxys,Coelioxys conoideus
iyDolMedi1,iyDolMedi1,Median wasp,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Vespidae,Dolichovespula,Dolichovespula media
iyDolSaxo1,iyDolSaxo1,Saxon wasp,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Vespidae,Dolichovespula,Dolichovespula saxonica
iyDolSylv1,iyDolSylv1,Tree wasp,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Vespidae,Dolichovespula,Dolichovespula sylvestris
iyEctCont1,iyEctCont1,.,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Crabronidae,Ectemnius,Ectemnius continuus
iyEctLitu1,iyEctLitu1,.,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Crabronidae,Ectemnius,Ectemnius lituratus
iyIchXant1,iyIchXant1,.,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,Ichneumon,Ichneumon xanthorius
